Treatment,Line_name,ID_pedigree,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Gen 15,Gen 16,Gen 17,Gen 18,Gen 19,Gen 20,Gen 21,Gen 22,Gen 23,Gen 24,Gen 25,Gen 26,Gen 27,Gen 28,Gen 29,Gen 30,Gen 31,Gen 32,Gen 33,Gen 34,Gen 35,Gen 36,Gen 37,Gen 38,Gen 39,Gen 40,Gen 41,Gen 42,Gen 43,Gen 44,Gen 45,Gen 46,Gen 47,Gen 48,Gen 49,Gen 50,Gen 51,Gen 52,Gen 53,Gen 54,Gen 55,Gen 56,Gen 57,Gen 58,Gen 59,Gen 60,Gen 61,Gen 62,Gen 63,Gen 64,Gen 65,Gen 66,Gen 67
Salt,A,D1,2014-04-24,2014-04-29,2014-05-01,2014-05-05,2014-05-04,2014-05-12,2014-05-18,2014-05-24,2014-06-02,2014-06-13,2014-06-16,2014-06-18,2014-06-23,2014-06-25,2014-06-28,2014-07-02,2014-07-06,2014-07-07,2014-07-11,2014-07-14,2014-07-18,2014-07-21,2014-07-23,2014-07-28,2014-08-03,2014-08-06,2014-08-11,2014-08-18,2014-08-22,2014-08-24,2014-08-27,2014-09-01,2014-09-03,2014-09-05,2014-09-08,2014-09-12,2014-09-15,2014-09-17,2014-09-22,2014-09-24,2014-09-29,2014-10-01,2014-10-03,2014-10-07,2014-10-10,2014-10-12,2014-10-16,2014-10-18,2014-10-22,2014-10-24,2014-10-26,2014-10-30,2014-11-03,2014-11-05,,,,,,,,,,,,,
Salt,B,D3-1,2014-04-22,2014-04-27,2014-05-01,2014-05-05,2014-05-07,2014-05-10,2014-05-14,2014-05-22,2014-05-26,2014-06-02,2014-06-04,2014-06-09,2014-06-11,2014-06-16,2014-06-18,2014-06-20,2014-06-23,2014-06-26,2014-06-30,2014-07-02,2014-07-07,2014-07-11,2014-07-14,2014-07-16,2014-07-20,2014-07-21,2014-07-26,2014-07-28,2014-08-03,2014-08-06,2014-08-16,2014-08-20,2014-08-24,2014-08-27,2014-08-29,2014-09-03,2014-09-05,2014-09-08,2014-09-12,2014-09-15,2014-09-19,2014-09-22,2014-09-26,2014-09-29,2014-10-01,2014-10-05,2014-10-07,2014-10-10,2014-10-14,2014-10-18,2014-10-20,2014-10-24,2014-10-26,2014-11-03,2014-11-05,,,,,,,,,,,,
Salt,C,D1-2,2014-04-22,2014-04-25,2014-04-27,2014-05-03,2014-05-07,2014-05-09,2014-05-14,2014-05-22,2014-05-24,2014-06-01,2014-06-13,2014-06-16,2014-06-18,2014-06-22,2014-06-23,2014-06-28,2014-06-30,2014-07-04,2014-07-07,2014-07-11,2014-07-14,2014-07-16,2014-07-21,2014-07-23,2014-07-28,2014-08-01,2014-08-06,2014-08-14,2014-08-20,2014-08-22,2014-08-25,2014-08-29,2014-09-01,2014-09-03,2014-09-07,2014-09-10,2014-09-13,2014-09-17,2014-09-19,2014-09-24,2014-09-26,2014-09-29,2014-10-03,2014-10-07,2014-10-10,2014-10-12,2014-10-16,2014-10-20,2014-10-22,2014-10-26,2014-10-28,2014-11-01,2014-11-03,2014-11-07,,,,,,,,,,,,,
Salt,D,D1-1-1,2014-04-22,2014-04-25,2014-04-29,2014-05-03,2014-05-07,2014-05-09,2014-05-14,2014-05-18,2014-05-22,2014-06-02,2014-06-06,2014-06-15,2014-06-18,2014-06-22,2014-06-28,2014-06-30,2014-07-04,2014-07-07,2014-07-11,2014-07-14,2014-07-18,2014-07-21,2014-07-23,2014-07-30,2014-08-03,2014-08-06,2014-08-11,2014-08-18,2014-08-22,2014-08-25,2014-08-29,2014-09-01,2014-09-04,2014-09-07,2014-09-10,2014-09-13,2014-09-17,2014-09-19,2014-09-22,2014-09-26,2014-09-29,2014-10-01,2014-10-05,2014-10-07,2014-10-10,2014-10-14,2014-10-18,2014-10-20,2014-10-24,2014-10-26,2014-10-30,2014-11-03,2014-11-05,,,,,,,,,,,,,,
Salt,E,D3,2014-04-24,2014-04-29,2014-05-01,2014-05-07,2014-05-09,2014-05-10,2014-05-16,2014-05-22,2014-05-26,2014-06-13,2014-06-15,2014-06-18,2014-06-23,2014-06-25,2014-06-28,2014-06-30,2014-07-04,2014-07-07,2014-07-11,2014-07-14,2014-07-16,2014-07-20,2014-07-21,2014-07-28,2014-08-01,2014-08-06,2014-08-11,2014-08-13,2014-08-18,2014-08-22,2014-08-24,2014-08-27,2014-08-29,2014-09-03,2014-09-05,2014-09-10,2014-09-12,2014-09-15,2014-09-19,2014-09-22,2014-09-24,2014-09-26,2014-10-01,2014-10-03,2014-10-05,2014-10-08,2014-10-12,2014-10-14,2014-10-18,2014-10-20,2014-10-24,2014-10-26,2014-10-28,2014-11-01,2014-11-03,2014-11-07,,,,,,,,,,,
Salt,F,D4-2,2014-04-25,2014-04-29,2014-05-05,2014-05-10,2014-05-18,2014-05-22,2014-05-26,2014-06-06,2014-06-22,2014-06-23,2014-06-26,2014-06-30,2014-07-02,2014-07-06,2014-07-09,2014-07-14,2014-07-16,2014-07-18,2014-07-21,2014-07-26,2014-07-30,2014-08-03,2014-08-06,2014-08-11,2014-08-13,2014-08-18,2014-08-22,2014-08-24,2014-08-27,2014-09-01,2014-09-03,2014-09-05,2014-09-08,2014-09-12,2014-09-15,2014-09-17,2014-09-22,2014-09-24,2014-09-26,2014-09-29,2014-10-03,2014-10-05,2014-10-08,2014-10-12,2014-10-16,2014-10-18,2014-10-20,2014-10-24,2014-10-26,2014-10-30,2014-11-03,2014-11-05,,,,,,,,,,,,,,,
Salt,G,D2-2,2014-04-22,2014-04-25,2014-05-01,2014-05-07,2014-05-09,2014-05-12,2014-05-18,2014-05-24,2014-06-02,2014-06-09,2014-06-11,2014-06-16,2014-06-22,2014-06-26,2014-07-02,2014-07-06,2014-07-09,2014-07-14,2014-07-16,2014-07-20,2014-07-23,2014-07-30,2014-08-03,2014-08-06,2014-08-11,2014-08-18,2014-08-22,2014-08-25,2014-08-29,2014-09-01,2014-09-04,2014-09-07,2014-09-10,2014-09-15,2014-09-17,2014-09-22,2014-09-24,2014-09-29,2014-10-01,2014-10-03,2014-10-07,2014-10-08,2014-10-12,2014-10-16,2014-10-20,2014-10-22,2014-10-26,2014-10-28,2014-11-01,2014-11-03,2014-11-07,,,,,,,,,,,,,,,,
Salt,H,D1-4,2014-04-24,2014-04-27,2014-05-01,2014-05-05,2014-05-09,2014-05-12,2014-05-18,2014-05-22,2014-05-26,2014-06-02,2014-06-04,2014-06-09,2014-06-11,2014-06-16,2014-06-18,2014-06-22,2014-06-23,2014-06-28,2014-06-30,2014-07-04,2014-07-07,2014-07-11,2014-07-14,2014-07-18,2014-07-21,2014-07-23,2014-07-28,2014-08-01,2014-08-06,2014-08-11,2014-08-18,2014-08-22,2014-08-25,2014-08-29,2014-09-01,2014-09-03,2014-09-07,2014-09-10,2014-09-15,2014-09-17,2014-09-19,2014-09-24,2014-09-26,2014-09-29,2014-10-03,2014-10-05,2014-10-08,2014-10-12,2014-10-16,2014-10-20,2014-10-22,2014-10-26,2014-10-28,2014-10-30,2014-11-03,2014-11-07,,,,,,,,,,,
Natural,I,D2,2014-04-22,2014-04-24,2014-04-27,2014-04-29,2014-05-03,2014-05-05,2014-05-07,2014-05-12,2014-05-14,2014-05-18,2014-05-22,2014-05-24,2014-05-28,2014-06-01,2014-06-02,2014-06-04,2014-06-09,2014-06-11,2014-06-15,2014-06-18,2014-06-22,2014-06-23,2014-06-26,2014-06-30,2014-07-02,2014-07-06,2014-07-09,2014-07-13,2014-07-14,2014-07-18,2014-07-21,2014-07-23,2014-07-28,2014-07-30,2014-08-03,2014-08-06,2014-08-10,2014-08-11,2014-08-16,2014-08-18,2014-08-22,2014-08-24,2014-08-27,2014-08-29,2014-09-03,2014-09-04,2014-09-07,2014-09-13,2014-09-17,2014-09-19,2014-09-22,2014-09-24,2014-09-28,2014-10-01,2014-10-03,2014-10-07,2014-10-10,2014-10-14,2014-10-16,2014-10-20,2014-10-24,2014-10-26,2014-10-28,2014-11-01,2014-11-03,2014-11-07,
Natural,J,D3-2,2014-04-24,2014-04-27,2014-04-29,2014-05-03,2014-05-07,2014-05-09,2014-05-12,2014-05-14,2014-05-18,2014-05-24,2014-05-26,2014-05-28,2014-06-01,2014-06-04,2014-06-06,2014-06-09,2014-06-13,2014-06-15,2014-06-18,2014-06-23,2014-06-25,2014-06-28,2014-06-30,2014-07-04,2014-07-07,2014-07-11,2014-07-13,2014-07-16,2014-07-18,2014-07-23,2014-07-28,2014-07-30,2014-08-01,2014-08-05,2014-08-08,2014-08-11,2014-08-13,2014-08-18,2014-08-20,2014-08-22,2014-08-25,2014-08-29,2014-09-01,2014-09-03,2014-09-05,2014-09-07,2014-09-13,2014-09-15,2014-09-17,2014-09-19,2014-09-24,2014-09-26,2014-09-29,2014-10-03,2014-10-05,2014-10-08,2014-10-12,2014-10-16,2014-10-18,2014-10-22,2014-10-24,2014-10-26,2014-10-30,2014-11-03,2014-11-05,,
