Treatment,Line_name,ID_pedigree,Gen0,Gen1,Gen2,Gen3,Gen4,Gen5,Gen6,Gen7,Gen8,Gen9,Gen10,Gen11,Gen12,Gen13,Gen14,Gen15,Gen16,Gen17,Gen18,Gen19,Gen20,Gen21,Gen22,Gen23,Gen24,Gen25,Gen26,Gen27,Gen28,Gen29,Gen30,Gen31,Gen32,Gen33,Gen34,Gen35,Gen36,Gen37,Gen38,Gen39,Gen40,Gen41,Gen42,Gen43,Gen44,Gen45,Gen46,Gen47,Gen48,Gen49,Gen50,Gen51,Gen52,Gen53,Gen54,Gen55,Gen56,Gen57,Gen58,Gen59,Gen60,Gen61,Gen62,Gen63,Gen64,Gen65,Gen66,Gen67,Gen68,Gen69,Gen70,Gen71,Gen72
Salt,A,M1-D1-2,2014-04-10,2014-04-17,2014-04-22,2014-04-24,2014-04-27,2014-05-01,2014-05-05,2014-05-07,2014-05-09,2014-05-12,2014-05-16,2014-05-18,2014-05-21,2014-05-24,2014-05-28,2014-06-01,2014-06-04,2014-06-08,2014-06-11,2014-06-13,2014-06-18,2014-06-20,2014-06-25,2014-06-26,2014-06-30,2014-07-02,2014-07-06,2014-07-09,2014-07-14,2014-07-16,2014-07-18,2014-07-21,2014-07-25,2014-07-28,2014-08-01,2014-08-05,2014-08-06,2014-08-10,2014-08-13,2014-08-18,2014-08-20,2014-08-24,2014-08-25,2014-08-29,2014-09-01,2014-09-05,2014-09-09,2014-09-12,2014-09-15,2014-09-17,2014-09-22,2014-09-24,2014-09-28,2014-10-01,2014-10-03,2014-10-07,2014-10-10,2014-10-12,2014-10-16,2014-10-20,2014-10-22,2014-10-26,2014-10-28,,,,,,,,,,
Salt,B,M1-D1-1-1,2014-04-10,2014-04-20,2014-04-22,2014-04-27,2014-05-01,2014-05-05,2014-05-07,2014-05-10,2014-05-14,2014-05-18,2014-05-21,2014-05-24,2014-05-26,2014-05-30,2014-06-03,2014-06-04,2014-06-09,2014-06-13,2014-06-16,2014-06-18,2014-06-23,2014-06-25,2014-06-28,2014-07-02,2014-07-06,2014-07-09,2014-07-14,2014-07-16,2014-07-18,2014-07-21,2014-07-25,2014-07-28,2014-08-01,2014-08-05,2014-08-10,2014-08-13,2014-08-18,2014-08-20,2014-08-24,2014-08-25,2014-08-29,2014-09-03,2014-09-05,2014-09-08,2014-09-12,2014-09-15,2014-09-19,2014-10-01,2014-10-05,2014-10-07,2014-10-10,2014-10-14,2014-10-16,2014-10-20,2014-10-22,2014-10-26,2014-10-30,,,,,,,,,,,,,,,,
Salt,C,M1-D3-3,2014-04-18,2014-04-18,2014-04-22,2014-04-25,2014-04-29,2014-05-01,2014-05-05,2014-05-07,2014-05-10,2014-05-14,2014-05-18,2014-05-21,2014-05-24,2014-05-28,2014-06-01,2014-06-04,2014-06-08,2014-06-11,2014-06-15,2014-06-18,2014-06-22,2014-06-25,2014-06-28,2014-07-02,2014-07-04,2014-07-07,2014-07-14,2014-07-16,2014-07-20,2014-07-23,2014-07-28,2014-07-30,2014-08-01,2014-08-06,2014-08-10,2014-08-13,2014-08-18,2014-08-20,2014-08-22,2014-08-25,2014-08-29,2014-09-01,2014-09-03,2014-09-07,2014-09-10,2014-09-15,2014-09-17,2014-09-22,2014-09-26,2014-09-29,2014-10-01,2014-10-05,2014-10-07,2014-10-10,2014-10-14,2014-10-16,2014-10-22,2014-10-24,2014-10-28,,,,,,,,,,,,,,
Salt,D,M1-D1-1-1-1,2014-04-18,2014-04-18,2014-04-22,2014-04-27,2014-04-29,2014-05-03,2014-05-05,2014-05-07,2014-05-12,2014-05-14,2014-05-18,2014-05-21,2014-05-24,2014-05-26,2014-06-01,2014-06-03,2014-06-04,2014-06-09,2014-06-13,2014-06-16,2014-06-18,2014-06-22,2014-06-25,2014-06-28,2014-07-02,2014-07-04,2014-07-07,2014-07-11,2014-07-14,2014-07-16,2014-07-21,2014-07-25,2014-07-28,2014-07-30,2014-08-03,2014-08-06,2014-08-10,2014-08-13,2014-08-18,2014-08-20,2014-08-24,2014-08-25,2014-08-29,2014-09-01,2014-09-03,2014-09-08,2014-09-12,2014-09-15,2014-09-17,2014-09-22,2014-09-24,2014-09-28,2014-10-03,2014-10-05,2014-10-08,2014-10-10,2014-10-14,2014-10-18,2014-10-22,2014-10-24,2014-10-26,2014-10-30,,,,,,,,,,,
Salt,E,M1-D3-1,2014-04-18,2014-04-18,2014-04-22,2014-04-24,2014-04-29,2014-05-01,2014-05-05,2014-05-07,2014-05-12,2014-05-16,2014-05-18,2014-05-21,2014-05-24,2014-05-26,2014-05-30,2014-06-03,2014-06-04,2014-06-09,2014-06-13,2014-06-16,2014-06-20,2014-06-22,2014-06-25,2014-06-30,2014-07-02,2014-07-06,2014-07-09,2014-07-14,2014-07-16,2014-07-20,2014-07-23,2014-07-25,2014-07-28,2014-08-01,2014-08-05,2014-08-06,2014-08-11,2014-08-13,2014-08-18,2014-08-22,2014-08-25,2014-08-27,2014-09-01,2014-09-03,2014-09-07,2014-09-10,2014-09-15,2014-09-17,2014-09-22,2014-09-24,2014-09-28,2014-10-01,2014-10-03,2014-10-07,2014-10-10,2014-10-12,2014-10-16,2014-10-22,2014-10-24,2014-10-28,2014-10-30,,,,,,,,,,,,
Salt,F,M1-D1-1-3,2014-04-18,2014-04-18,2014-04-22,2014-04-25,2014-04-29,2014-05-01,2014-05-05,2014-05-07,2014-05-12,2014-05-16,2014-05-18,2014-05-21,2014-05-26,2014-05-28,2014-06-01,2014-06-04,2014-06-08,2014-06-11,2014-06-15,2014-06-18,2014-06-20,2014-06-25,2014-06-28,2014-07-02,2014-07-04,2014-07-07,2014-07-11,2014-07-14,2014-07-16,2014-07-21,2014-07-23,2014-07-28,2014-07-30,2014-08-03,2014-08-06,2014-08-10,2014-08-13,2014-08-18,2014-08-22,2014-08-24,2014-08-27,2014-08-29,2014-09-03,2014-09-05,2014-09-08,2014-09-12,2014-09-15,2014-09-19,2014-09-24,2014-09-28,2014-10-01,2014-10-05,2014-10-07,2014-10-10,2014-10-14,2014-10-18,2014-10-22,2014-10-24,2014-10-26,2014-10-30,,,,,,,,,,,,,
Salt,G,M1-D3-1-2,2014-04-16,2014-04-20,2014-04-22,2014-04-27,2014-04-29,2014-05-03,2014-05-07,2014-05-10,2014-05-12,2014-05-18,2014-05-21,2014-05-24,2014-05-28,2014-05-30,2014-06-03,2014-06-06,2014-06-09,2014-06-13,2014-06-16,2014-06-20,2014-06-23,2014-06-25,2014-06-28,2014-07-02,2014-07-06,2014-07-11,2014-07-14,2014-07-16,2014-07-21,2014-07-23,2014-07-28,2014-08-01,2014-08-03,2014-08-06,2014-08-11,2014-08-13,2014-08-18,2014-08-22,2014-08-25,2014-08-27,2014-09-01,2014-09-03,2014-09-05,2014-09-08,2014-09-12,2014-09-15,2014-09-19,2014-09-22,2014-09-26,2014-09-29,2014-10-01,2014-10-05,2014-10-07,2014-10-10,2014-10-14,2014-10-16,2014-10-22,2014-10-24,2014-10-26,2014-10-30,,,,,,,,,,,,,
Salt,H,M1-D3-2-1,2014-04-18,2014-04-18,2014-04-22,2014-04-25,2014-04-29,2014-05-01,2014-05-05,2014-05-07,2014-05-10,2014-05-14,2014-05-18,2014-05-21,2014-05-24,2014-05-28,2014-06-03,2014-06-06,2014-06-13,2014-06-18,2014-06-20,2014-06-23,2014-06-26,2014-06-30,2014-07-02,2014-07-06,2014-07-11,2014-07-14,2014-07-16,2014-07-20,2014-07-23,2014-07-25,2014-08-01,2014-08-03,2014-08-06,2014-08-11,2014-08-13,2014-08-18,2014-08-20,2014-08-24,2014-08-27,2014-09-01,2014-09-03,2014-09-07,2014-09-10,2014-09-12,2014-09-15,2014-09-19,2014-09-22,2014-09-24,2014-09-29,2014-10-01,2014-10-05,2014-10-07,2014-10-10,2014-10-14,2014-10-18,2014-10-20,2014-10-22,2014-10-26,2014-10-28,,,,,,,,,,,,,,
Natural,I,M1-D1-1,2014-04-17,2014-04-20,2014-04-22,2014-04-25,2014-04-27,2014-04-29,2014-05-03,2014-05-05,2014-05-07,2014-05-10,2014-05-14,2014-05-16,2014-05-18,2014-05-21,2014-05-24,2014-05-26,2014-05-30,2014-06-02,2014-06-04,2014-06-06,2014-06-09,2014-06-11,2014-06-15,2014-06-18,2014-06-22,2014-06-23,2014-06-25,2014-06-28,2014-07-02,2014-07-04,2014-07-07,2014-07-11,2014-07-13,2014-07-16,2014-07-18,2014-07-21,2014-07-23,2014-07-26,2014-07-28,2014-08-01,2014-08-03,2014-08-06,2014-08-10,2014-08-11,2014-08-13,2014-08-18,2014-08-20,2014-08-22,2014-08-25,2014-08-27,2014-09-01,2014-09-03,2014-09-07,2014-09-10,2014-09-12,2014-09-15,2014-09-17,2014-09-19,2014-09-22,2014-09-24,2014-09-28,2014-10-01,2014-10-03,2014-10-07,2014-10-08,2014-10-12,2014-10-14,2014-10-16,2014-10-20,2014-10-22,2014-10-24,2014-10-28,2014-10-30
Natural,J,M1-D1-1-2,2014-04-14,2014-04-18,2014-04-22,2014-04-24,2014-04-25,2014-04-27,2014-05-01,2014-05-03,2014-05-07,2014-05-09,2014-05-10,2014-05-14,2014-05-16,2014-05-21,2014-05-24,2014-05-26,2014-05-28,2014-06-01,2014-06-02,2014-06-06,2014-06-09,2014-06-11,2014-06-15,2014-06-18,2014-06-20,2014-06-22,2014-06-25,2014-06-28,2014-06-30,2014-07-02,2014-07-06,2014-07-09,2014-07-13,2014-07-14,2014-07-16,2014-07-20,2014-07-21,2014-07-25,2014-07-28,2014-07-30,2014-08-03,2014-08-05,2014-08-08,2014-08-11,2014-08-13,2014-08-16,2014-08-20,2014-08-22,2014-08-25,2014-08-27,2014-09-01,2014-09-03,2014-09-05,2014-09-08,2014-09-12,2014-09-15,2014-09-17,2014-09-19,2014-09-22,2014-09-26,2014-09-28,2014-10-01,2014-10-03,2014-10-05,2014-10-08,2014-10-10,2014-10-14,2014-10-16,2014-10-18,2014-10-22,2014-10-24,2014-10-28,2014-10-30
